galaxy_name,n_data_points,f_disk,f_disk_error,rho_c_Msun_kpc3,rho_c_error,r_c_kpc,r_c_error,chi_squared,chi_squared_reduced,degrees_of_freedom,soliton_mass_5rc_Msun,virial_mass_estimate_Msun,virial_radius_estimate_kpc,used_phonon_term,error_floor_fraction
UGC06917,11,0.411341764003616,1.9717739470871491,87388288.92458053,199141402.8013226,1.694249329045056,1.67716032312489,0.9014697774834214,0.11268372218542767,8,19368439539.32856,30271316303.293545,64.30297725977604,True,0.05
UGC06923,6,0.5398167803489676,0.5628067289308979,56079018.598866574,98626752.01351029,1.72338833212774,1.8243009418633864,1.169279213703997,0.3897597379013323,3,13081552215.67396,8377346570.7626505,41.90406360562289,True,0.05
UGC06930,10,0.6274210905034204,0.8645266625024429,75753135.35030825,134061894.3403478,1.6197388154163057,1.2119744727941972,0.8746782535620388,0.1249540362231484,7,14670503225.892254,45758647411.23611,73.7980759221737,True,0.05
UGC06973,9,0.4025944474607981,0.10308038472689574,274471210.0636042,471673955.81641275,1.5249523822463174,1.5177826531149798,0.4983277607025129,0.08305462678375215,6,44358318467.99477,57001144331.37896,79.40511960716398,True,0.05
UGC06983,17,0.7808643599730479,1.3841654012185378,79084530.39126629,310088923.2932641,1.6643796545543488,3.195738634083732,4.75988332990321,0.33999166642165785,14,16617212148.612339,45868723694.715225,73.85720436543359,True,0.05
UGC07089,12,0.9156492172226297,0.18831605001085217,3779691.010421747,4469798.123487112,9.638414560569549,17.643144974058558,0.9039385856974088,0.10043762063304543,9,154234856209.07248,13279027615.872822,48.858793386619844,True,0.05
UGC07125,13,0.7233441291290995,1.335971102050078,9862765.745606236,51752255.961847425,2.5109559222686926,6.6070192985417355,2.0285770133498633,0.20285770133498632,10,7115827555.117319,18488834677.381706,54.557838907893725,True,0.05
UGC07151,11,0.8665775160104009,0.9644949910931324,62292211.20927176,268451984.50693893,1.1888910081541504,2.377088712715718,3.9200404853832613,0.49000506067290767,8,4770559359.061693,7521223035.100025,40.42500993019419,True,0.05
UGC07261,7,0.4778123853047263,0.540653667974445,288719537.11143285,223907274.794618,0.5900775999946303,0.23227639849140366,0.06039929214644851,0.015099823036612128,4,2703416674.135092,9114167181.093725,43.09825068713668,True,0.05
UGC07323,10,0.9122851685859084,0.17682167786611544,8186904.168254858,10273128.158661444,6.956994714307972,13.764289854041271,1.121671215548158,0.1602387450783083,7,125630230434.13698,10136164267.406885,44.65243971578171,True,0.05
UGC07399,10,0.10000000000000002,37.36815699588691,486348096.38104266,2313276309.3946824,0.6695978782158445,1.4744948945921805,0.5189337669121099,0.07413339527315856,7,6654246061.012207,15059192105.717974,50.951214116078695,True,0.05
UGC07524,31,0.8720888826390413,0.2163486861590842,26264081.375852525,7992572.057843652,2.1284333477914474,0.3103233508219098,4.391284278733308,0.15683158138333245,28,11541222371.4066,17354556261.109997,53.418515808622686,True,0.05
UGC07559,7,0.1009396411637519,39.842007542855164,35118309.669974916,367615327.5632988,0.8785593883056705,5.07179209523586,0.3405145120289267,0.08512862800723167,4,1085316499.5777965,652355966.556042,17.8943334428937,True,0.05
UGC07577,9,0.5337409792385878,1.75535395583965,3273172.2068277844,22546266.281729925,49.99999999999756,207890.6351392319,0.2920562787914975,0.04867604646524958,6,18646112373780.992,114589236.2338444,10.021558231804741,True,0.05
